origin,destination,distance_km,ridership
AG12: Miharja,KG15: Muzium Negara,3.85165197057658,402
AG12: Miharja,KG16: Pasar Seni,3.4325444762512487,528
AG12: Miharja,KG17: Merdeka,2.92508316377906,834
AG12: Miharja,KG20: Tun Razak Exchange,2.395781749054029,3044
AG12: Miharja,KG21: Cochrane,1.4321749206220762,3473
AG12: Miharja,KG22: Maluri,1.1366126856817622,11529
AG12: Miharja,KG23: Taman Pertama,1.579162067444948,1081
AG12: Miharja,KG24: Taman Midah,2.421029944025013,759
AG12: Miharja,KG25: Taman Mutiara,4.168246584711975,2400
AG12: Miharja,KG26: Taman Connaught,5.548977766775938,1282
AG12: Miharja,KG27: Taman Suntex,7.472339009279563,933
AG12: Miharja,KG28: Sri Raya,8.936758220844629,323
AG12: Miharja,KG29: Bandar Tun Hussien Onn,10.28384493939557,766
AG12: Miharja,KG30: Batu 11 Cheras,10.785683952305176,682
AG12: Miharja,KG31: Bukit Dukung,12.057547067946553,443
AG12: Miharja,KG33: Sungai Jernih,15.222348704740599,270
AG12: Miharja,KG34: Stadium Kajang,15.982431410236522,793
AG12: Miharja,KG35: Kajang,17.340137188272124,882
AG12: Miharja,KJ10: KLCC,4.252435085342545,2235
AG12: Miharja,KJ11: Kampung Baru,4.665992457667313,75
AG12: Miharja,KJ12: Dang Wangi,4.373952821171903,390
AG12: Miharja,KJ13: Masjid Jamek,3.9629999517047434,109
AG12: Miharja,KJ14: Pasar Seni,3.4641559501574535,617
AG12: Miharja,KJ15: KL Sentral,3.821210307876043,1040
AG12: Miharja,KJ16: Bank Rakyat Bangsar,4.376861881774365,1778
AG12: Miharja,KJ17: Abdullah Hukum,5.005321304176704,1576
AG12: Miharja,KJ18: Kerinchi,5.5129634698618615,633
AG12: Miharja,KJ19: Universiti,6.288971897166467,312
AG12: Miharja,KJ20: Taman Jaya,8.284663915205567,205
AG12: Miharja,KJ21: Asia Jaya,9.09758755905321,284
AG12: Miharja,KJ22: Taman Paramount,10.672165136395225,116
AG12: Miharja,KJ23: Taman Bahagia,11.720358364573492,238
AG12: Miharja,KJ24: Kelana Jaya,12.65065891531371,106
AG12: Miharja,KJ25: Lembah Subang,14.12298649661292,222
AG12: Miharja,KJ26: Ara Damansara,14.670288970898243,140
AG12: Miharja,KJ27: Cgc Glenmarie,14.432333437065658,321
AG12: Miharja,KJ28: Subang Jaya,14.966365129618465,453
AG12: Miharja,KJ29: SS 15,15.48052605597448,208
AG12: Miharja,KJ30: SS 18,15.827477467228995,32
AG12: Miharja,KJ31: USJ 7,15.77240399199339,88
AG12: Miharja,KJ32: Taipan,16.327284769210166,170
AG12: Miharja,KJ33: Wawasan,17.269868190079816,113
AG12: Miharja,KJ34: USJ 21,18.20264044863893,92
AG12: Miharja,KJ35: Alam Megah,19.51234114839666,85
AG12: Miharja,KJ36: Subang Alam,20.380696550576634,55
AG12: Miharja,MR10: Chow Kit,5.595600142221886,528
AG12: Miharja,MR11: Titiwangsa,6.295035803883231,282
AG12: Miharja,SP12: Cheras,1.0187093488704861,3171
AG12: Miharja,SP13: Salak Selatan,2.461102531518128,4146
AG12: Miharja,SP14: Bandar Tun Razak,3.5433553899992454,1301
AG12: Miharja,SP15: Bandar Tasik Selatan,5.051317314156622,5991
AG12: Miharja,SP16: Sungai Besi,6.446321793050323,231
AG12: Miharja,SP17: Bukit Jalil,7.545297801337607,2895
AG12: Miharja,SP18: Sri Petaling,7.452893008520098,591
AG12: Miharja,SP19: Awan Besar,8.39465551102139,1721
AG12: Miharja,SP20: Muhibbah,8.970182702163427,721
AG12: Miharja,SP21: Alam Sutera,10.043152564727853,742
AG12: Miharja,SP22: Kinrara,11.323865048517614,813
AG12: Miharja,SP24: IOI Puchong Jaya,13.47555364002246,1310
AG12: Miharja,SP25: Pusat Bandar Puchong,14.939786115237606,1338
AG12: Miharja,SP26: Taman Perindustrian Puchong,15.922597779757407,419
AG12: Miharja,SP27: Bandar Puteri,16.4157546916372,714
AG12: Miharja,SP28: Puchong Perdana,17.753887358642178,577
AG12: Miharja,SP29: Puchong Prima,19.045121560280144,806
AG12: Miharja,SP31: Putra Heights,21.049220441383476,956
AG13: Maluri,AG10: Pudu,2.134512043638998,36862
AG13: Maluri,AG11: Chan Sow Lin,1.3995121472554932,9986
AG13: Maluri,AG12: Miharja,1.0708069751610558,11286
AG13: Maluri,AG14: Pandan Jaya,1.5192707621378727,28514
AG13: Maluri,AG15: Pandan Indah,2.476489723558442,12155
AG13: Maluri,AG16: Cempaka,3.306691131326995,23243
AG13: Maluri,AG17: Cahaya,3.7874881847319184,16068
AG13: Maluri,AG18: Ampang,4.718791988819675,24212
AG13: Maluri,KG04: Kwasa Damansara,18.209394356306984,101
AG13: Maluri,KG05: Kwasa Sentral,18.792195504245118,258
AG13: Maluri,KG06: Kota Damansara,16.765882984124612,394
AG13: Maluri,KG07: Surian,15.090193977227097,1078
AG13: Maluri,KG08: Mutiara Damansara,13.598306404553158,409
AG13: Maluri,KG09: Bandar Utama,12.344830200039455,714
AG13: Maluri,KG10: TTDI,10.835869269539272,755
AG13: Maluri,KG12: Phileo Damansara,9.444956662933471,591
